id,createdTime,Hotspot_ID,P95_Latency_ms,P99_Latency_ms,Peak_Throughput_Mbps,Packet_Loss_pct,Measurement_Date,Recorded_By
recMeas000000q101,2026-04-10T10:00:00.000Z,HSP-01,102,152,48,1,2026-04-12,yetunde.bakare.engineer@gmail.com
recMeas000000q102,2026-04-10T11:00:00.000Z,HSP-02,118,176,35,1.6,2026-04-13,yetunde.bakare.engineer@gmail.com
recMeas000000q103,2026-04-12T10:00:00.000Z,HSP-03,112,169,38,1.3,2026-04-13,yetunde.bakare.engineer@gmail.com
recMeas000000q104,2026-04-15T10:00:00.000Z,HSP-04,142,212,41,2.2,2026-04-14,yetunde.bakare.engineer@gmail.com
recMeas000000q105,2026-04-15T11:00:00.000Z,HSP-05,165,245,31,2.9,2026-04-14,yetunde.bakare.engineer@gmail.com
recMeas000000q106,2026-04-16T10:00:00.000Z,HSP-06,138,209,45,2,2026-04-14,yetunde.bakare.engineer@gmail.com
recMeas000000q107,2026-04-16T11:00:00.000Z,HSP-07,94,144,53,0.9,2026-04-15,yetunde.bakare.engineer@gmail.com
recMeas000000q108,2026-04-17T10:00:00.000Z,HSP-08,124,188,44,1.7,2026-04-15,yetunde.bakare.engineer@gmail.com
recMeas000000q109,2026-04-17T11:00:00.000Z,HSP-09,108,165,47,1.2,2026-04-15,yetunde.bakare.engineer@gmail.com
recMeas000000q110,2026-04-18T10:00:00.000Z,HSP-10,152,226,33,2.4,2026-04-15,yetunde.bakare.engineer@gmail.com
recMeas000000q111,2026-04-18T11:00:00.000Z,HSP-11,97,146,50,1,2026-04-15,yetunde.bakare.engineer@gmail.com
recMeas000000q112,2026-04-18T12:00:00.000Z,HSP-12,104,158,48,1.1,2026-04-15,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_01,2026-04-14T10:00:00.000Z,HSP-01,100,147,52,0.8,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_02,2026-04-14T10:00:00.000Z,HSP-02,115,173,38,1.4,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_03,2026-04-14T10:00:00.000Z,HSP-03,110,164,41,1.1,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_04,2026-04-14T10:00:00.000Z,HSP-04,133,200,44,1.9,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_05,2026-04-14T10:00:00.000Z,HSP-05,164,239,33,2.6,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_06,2026-04-14T10:00:00.000Z,HSP-06,127,192,49,1.7,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_07,2026-04-14T10:00:00.000Z,HSP-07,92,139,56,0.7,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_08,2026-04-14T10:00:00.000Z,HSP-08,123,183,47,1.5,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_09,2026-04-14T10:00:00.000Z,HSP-09,107,161,50,1.0,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_10,2026-04-14T10:00:00.000Z,HSP-10,150,220,36,2.2,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_11,2026-04-14T10:00:00.000Z,HSP-11,96,143,53,0.9,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_0_12,2026-04-14T10:00:00.000Z,HSP-12,104,154,51,1.0,2026-04-10,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_01,2026-04-15T10:00:00.000Z,HSP-01,100,147,52,0.8,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_02,2026-04-15T10:00:00.000Z,HSP-02,115,173,38,1.4,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_03,2026-04-15T10:00:00.000Z,HSP-03,110,164,41,1.1,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_04,2026-04-15T10:00:00.000Z,HSP-04,133,200,44,1.9,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_05,2026-04-15T10:00:00.000Z,HSP-05,164,239,33,2.6,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_06,2026-04-15T10:00:00.000Z,HSP-06,127,192,49,1.7,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_07,2026-04-15T10:00:00.000Z,HSP-07,92,139,56,0.7,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_08,2026-04-15T10:00:00.000Z,HSP-08,123,183,47,1.5,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_09,2026-04-15T10:00:00.000Z,HSP-09,107,161,50,1.0,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_10,2026-04-15T10:00:00.000Z,HSP-10,150,220,36,2.2,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_11,2026-04-15T10:00:00.000Z,HSP-11,96,143,53,0.9,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_1_12,2026-04-15T10:00:00.000Z,HSP-12,104,154,51,1.0,2026-04-11,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_01,2026-04-16T10:00:00.000Z,HSP-01,100,147,52,0.8,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_02,2026-04-16T10:00:00.000Z,HSP-02,115,173,38,1.4,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_03,2026-04-16T10:00:00.000Z,HSP-03,110,164,41,1.1,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_04,2026-04-16T10:00:00.000Z,HSP-04,133,200,44,1.9,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_05,2026-04-16T10:00:00.000Z,HSP-05,164,239,33,2.6,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_06,2026-04-16T10:00:00.000Z,HSP-06,127,192,49,1.7,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_07,2026-04-16T10:00:00.000Z,HSP-07,92,139,56,0.7,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_08,2026-04-16T10:00:00.000Z,HSP-08,123,183,47,1.5,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_09,2026-04-16T10:00:00.000Z,HSP-09,107,161,50,1.0,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_10,2026-04-16T10:00:00.000Z,HSP-10,150,220,36,2.2,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_11,2026-04-16T10:00:00.000Z,HSP-11,96,143,53,0.9,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_2_12,2026-04-16T10:00:00.000Z,HSP-12,104,154,51,1.0,2026-04-13,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_01,2026-04-17T10:00:00.000Z,HSP-01,100,147,52,0.8,2026-04-14,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_02,2026-04-17T10:00:00.000Z,HSP-02,115,173,38,1.4,2026-04-14,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_03,2026-04-17T10:00:00.000Z,HSP-03,110,164,41,1.1,2026-04-14,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_04,2026-04-17T10:00:00.000Z,HSP-04,133,200,44,1.9,2026-04-14,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_05,2026-04-17T10:00:00.000Z,HSP-05,164,239,33,2.6,2026-04-14,yetunde.bakare.engineer@gmail.com
rec_q1_extra_3_06,2026-04-17T10:00:00.000Z,HSP-06,127,192,49,1.7,2026-04-14,yetunde.bakare.engineer@gmail.com
