user_id,tweet_id
tw_user_sheila,tw_001
tw_user_sheila,tw_002
tw_user_sheila,tw_004
tw_user_sheila,tw_005
tw_user_sheila,tw_006
tw_user_sheila,tw_007
tw_user_sheila,tw_008
tw_user_sheila,tw_009
tw_user_sheila,tw_010
tw_user_sheila,tw_011
tw_user_sheila,tw_012
tw_user_sheila,tw_013
tw_user_sheila,tw_014
tw_user_sheila,tw_015
tw_user_sheila,tw_016
tw_user_sheila,tw_017
tw_user_sheila,tw_018
tw_user_sheila,tw_019
tw_user_sheila,tw_020
tw_user_sheila,tw_021
tw_user_sheila,tw_024
tw_user_sheila,tw_025
