city_id,dt,dt_txt,temp,feels_like,temp_min,temp_max,pressure,humidity,weather_id,weather_main,weather_description,weather_icon,wind_speed,wind_deg,clouds,pop
2352778,1791151200,2026-10-04 23:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791162000,2026-10-05 02:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791172800,2026-10-05 05:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791183600,2026-10-05 08:00:00,27.0,28.5,25.0,30.0,1013,70,803,Clouds,broken clouds,04d,3.8,170,60,0.15
2352778,1791194400,2026-10-05 11:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791205200,2026-10-05 14:00:00,24.5,26.5,23.0,26.0,1010,88,500,Rain,light rain,10d,5.2,200,75,0.75
2352778,1791216000,2026-10-05 17:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791226800,2026-10-05 20:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791237600,2026-10-05 23:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791248400,2026-10-06 02:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791259200,2026-10-06 05:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791270000,2026-10-06 08:00:00,26.0,28.0,24.0,29.0,1012,76,802,Clouds,scattered clouds,03d,4.5,180,40,0.15
2352778,1791280800,2026-10-06 11:00:00,24.5,26.5,23.0,26.0,1010,88,500,Rain,light rain,10d,5.2,200,75,0.75
2352778,1791291600,2026-10-06 14:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791302400,2026-10-06 17:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791313200,2026-10-06 20:00:00,27.0,28.5,25.0,30.0,1013,70,803,Clouds,broken clouds,04d,3.8,170,60,0.15
2352778,1791324000,2026-10-06 23:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
2352778,1791334800,2026-10-07 02:00:00,23.5,25.0,22.0,25.0,1009,92,501,Rain,moderate rain,10d,6.8,210,90,0.75
