01:34:26 [INFO] Network k3net-cc86d27e1629 created
01:34:26 [INFO] [ll-cc86d27e1629] Starting LiteLLM sidecar on network k3net-cc86d27e1629
01:34:42 [INFO] [ll-cc86d27e1629] LiteLLM healthy
01:34:42 [INFO] LiteLLM sidecar ll-cc86d27e1629 ready on network k3net-cc86d27e1629
01:34:42 [INFO] Mock image kensei3-mocks:v1 already built
01:34:43 [INFO] [mocks-cc86d27e1629] mock-stack container started
01:35:27 [INFO] [mocks-cc86d27e1629] mock-stack healthy
01:35:27 [INFO] Mock stack mocks-cc86d27e1629 ready (101 service URLs)
01:35:27 [INFO] Single task mode: dana-ellison__google-classroom-api__week5-grading (format=native)
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/materials.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/materials.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/announcements.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/announcements.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/coursework.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/coursework.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/submissions.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/submissions.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/topics.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/topics.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/courses.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/courses.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/teachers.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/teachers.csv
01:35:27 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] overlay google-classroom-api/students.csv -> /Users/apple/Desktop/WildClaw/Wildclow_forked_image/input/dana-ellison__google-classroom-api__week5-grading/mock_data/google-classroom-api/students.csv
01:35:28 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] mock-stack container started
01:37:28 [INFO] [mocks-task-dana-ellison__google-classroom-api__week-a0fe06] target ports healthy: 8002
