id,media_id,media_type,media_url,timestamp
igc_med_011_01,ig_med_011,image,https://media.example-ig.com/igc_med_011_01.jpg,2026-09-12T19:00:00Z
igc_med_011_02,ig_med_011,image,https://media.example-ig.com/igc_med_011_02.jpg,2026-09-12T19:00:00Z
igc_med_011_03,ig_med_011,image,https://media.example-ig.com/igc_med_011_03.jpg,2026-09-12T19:00:00Z
igc_med_025_01,ig_med_025,image,https://media.example-ig.com/igc_med_025_01.jpg,2026-09-23T08:00:00Z
igc_med_025_02,ig_med_025,image,https://media.example-ig.com/igc_med_025_02.jpg,2026-09-23T08:00:00Z
igc_med_031_01,ig_med_031,image,https://media.example-ig.com/igc_med_031_01.jpg,2026-09-12T08:00:00Z
igc_med_031_02,ig_med_031,image,https://media.example-ig.com/igc_med_031_02.jpg,2026-09-12T08:00:00Z
igc_med_031_03,ig_med_031,image,https://media.example-ig.com/igc_med_031_03.jpg,2026-09-12T08:00:00Z
igc_med_035_01,ig_med_035,image,https://media.example-ig.com/igc_med_035_01.jpg,2026-09-11T18:00:00Z
igc_med_035_02,ig_med_035,image,https://media.example-ig.com/igc_med_035_02.jpg,2026-09-11T18:00:00Z
igc_med_035_03,ig_med_035,image,https://media.example-ig.com/igc_med_035_03.jpg,2026-09-11T18:00:00Z
igc_med_035_04,ig_med_035,image,https://media.example-ig.com/igc_med_035_04.jpg,2026-09-11T18:00:00Z
