channel_id,user_id
C001,U001
C001,U002
C001,U003
C001,U004
C001,U005
C001,U006
C001,U007
C001,U008
C001,U009
C001,U010
C001,U011
C001,U012
C002,U001
C002,U002
C002,U003
C002,U004
C002,U005
C002,U006
C002,U007
C002,U008
C002,U009
C002,U011
C003,U001
C003,U004
C003,U005
C003,U006
C003,U008
C003,U011
C004,U001
C004,U002
C004,U006
C004,U007
C004,U009
C004,U010
C004,U011
C005,U001
C005,U002
C005,U009
C005,U010
C005,U011
C006,U001
C006,U005
C006,U006
C007,U001
C007,U002
C007,U007
C007,U011
C008,U001
C008,U002
C008,U007
C008,U011
C009,U001
C009,U002
C009,U011
