track_id,name,artist_id,album_id,duration_ms,popularity,explicit,track_number
trk_burna_last_last,Last Last,art_burna_boy,alb_burna_love_damini,173000,91,false,1
trk_burna_for_my_hand,For My Hand (feat. Ed Sheeran),art_burna_boy,alb_burna_love_damini,194000,86,false,8
trk_burna_kilometre,Kilometre,art_burna_boy,alb_burna_love_damini,211000,82,false,12
trk_burna_ye,Ye,art_burna_boy,alb_burna_african_giant,228000,88,false,4
trk_burna_anybody,Anybody,art_burna_boy,alb_burna_african_giant,232000,79,false,8
trk_burna_city_boys,City Boys,art_burna_boy,alb_burna_iworhu,193000,84,false,3
trk_burna_sittin_top,Sittin On Top of the World,art_burna_boy,alb_burna_iworhu,200000,86,false,1
trk_wizkid_essence,Essence (feat. Tems),art_wizkid,alb_wizkid_made_lagos,248000,89,false,9
trk_wizkid_no_stress,No Stress,art_wizkid,alb_wizkid_made_lagos,198000,81,false,10
trk_wizkid_blessed,Blessed (feat. Damian Marley),art_wizkid,alb_wizkid_made_lagos,230000,80,false,5
trk_wizkid_bad_to_me,Bad to Me,art_wizkid,alb_wizkid_more_love,200000,87,false,1
trk_wizkid_money_love,Money and Love,art_wizkid,alb_wizkid_more_love,195000,78,false,6
trk_davido_unavailable,Unavailable (feat. Musa Keys),art_davido,alb_davido_timeless,228000,90,false,5
trk_davido_feel,Feel,art_davido,alb_davido_timeless,164000,80,false,1
trk_davido_overdose,Over Dem,art_davido,alb_davido_timeless,214000,78,false,11
trk_davido_jowo,Jowo,art_davido,alb_davido_better_time,211000,82,false,5
trk_davido_la_la,La La,art_davido,alb_davido_better_time,178000,75,false,8
trk_tems_love_me_jeje,Love Me JeJe,art_tems,alb_tems_born_in_wild,211000,90,false,4
trk_tems_burning,Burning,art_tems,alb_tems_born_in_wild,219000,81,false,7
trk_tems_wickedest,Wickedest,art_tems,alb_tems_born_in_wild,179000,84,false,10
trk_tems_crazy_tings,Crazy Tings,art_tems,alb_tems_if_orange,199000,79,false,1
trk_tems_higher,Higher,art_tems,alb_tems_if_orange,205000,75,false,3
trk_asake_lonely_at_top,Lonely At The Top,art_asake,alb_asake_work_of_art,136000,88,false,1
trk_asake_amapiano,Amapiano (feat. Olamide),art_asake,alb_asake_work_of_art,223000,81,false,7
trk_asake_basquiat,Basquiat,art_asake,alb_asake_work_of_art,171000,79,false,4
trk_asake_terminator,Terminator,art_asake,alb_asake_mr_money,153000,86,false,3
trk_asake_organize,Organise,art_asake,alb_asake_mr_money,165000,80,false,5
trk_asake_peace_mind,Peace Be Unto You,art_asake,alb_asake_mr_money,188000,82,false,7
trk_rema_calm_down,Calm Down,art_rema,alb_rema_rave_roses,239000,95,false,4
trk_rema_charm,Charm,art_rema,alb_rema_rave_roses,166000,76,false,6
trk_rema_woman,Woman,art_rema,alb_rema_rave_roses,207000,78,false,14
