playlist_id,track_id,position,added_at
pl_morning_commute,trk_burna_last_last,1,2025-09-12T06:45:00Z
pl_morning_commute,trk_burna_city_boys,2,2025-09-12T06:46:00Z
pl_morning_commute,trk_burna_for_my_hand,3,2025-09-12T06:47:00Z
pl_morning_commute,trk_wizkid_essence,4,2025-09-12T06:48:00Z
pl_morning_commute,trk_wizkid_bad_to_me,5,2025-09-12T06:49:00Z
pl_morning_commute,trk_davido_unavailable,6,2025-09-12T06:50:00Z
pl_morning_commute,trk_asake_lonely_at_top,7,2025-09-12T06:51:00Z
pl_morning_commute,trk_asake_basquiat,8,2025-09-12T06:52:00Z
pl_morning_commute,trk_rema_calm_down,9,2025-09-12T06:53:00Z
pl_morning_commute,trk_rema_charm,10,2025-09-12T06:54:00Z
pl_morning_commute,trk_tems_love_me_jeje,11,2025-09-12T06:55:00Z
pl_morning_commute,trk_ckay_emiliana,12,2025-09-12T06:56:00Z
pl_morning_commute,trk_omah_lay_soso,13,2025-09-12T06:57:00Z
pl_morning_commute,trk_adekunle_5_star,14,2025-09-12T06:58:00Z
pl_morning_commute,trk_burna_kilometre,15,2025-09-12T06:59:00Z
pl_sunday_worship,trk_sinach_way_maker,1,2025-08-02T05:55:00Z
pl_sunday_worship,trk_sinach_great_god,2,2025-08-02T05:56:00Z
pl_sunday_worship,trk_sinach_overflow,3,2025-08-02T05:57:00Z
pl_sunday_worship,trk_nathaniel_hallelujah,4,2025-08-02T05:58:00Z
pl_sunday_worship,trk_nathaniel_imela,5,2025-08-02T05:59:00Z
pl_sunday_worship,trk_mercy_excess_love,6,2025-08-02T06:00:00Z
pl_sunday_worship,trk_mercy_satisfied,7,2025-08-02T06:01:00Z
pl_sunday_worship,trk_dunsin_yahweh,8,2025-08-02T06:02:00Z
pl_sunday_worship,trk_chandler_jireh,9,2025-08-02T06:03:00Z
pl_sunday_worship,trk_fkc_god_only_knows,10,2025-08-02T06:04:00Z
pl_evening_focus,trk_sade_smooth_operator,1,2025-07-18T20:30:00Z
pl_evening_focus,trk_sade_no_ordinary_love,2,2025-07-18T20:31:00Z
pl_evening_focus,trk_sade_by_your_side,3,2025-07-18T20:32:00Z
pl_evening_focus,trk_sade_king_of_sorrow,4,2025-07-18T20:33:00Z
pl_evening_focus,trk_corinne_put_records,5,2025-07-18T20:34:00Z
pl_evening_focus,trk_corinne_like_star,6,2025-07-18T20:35:00Z
pl_evening_focus,trk_jhene_lightning,7,2025-07-18T20:36:00Z
pl_evening_focus,trk_jhene_above_clouds,8,2025-07-18T20:37:00Z
pl_evening_focus,trk_her_focus,9,2025-07-18T20:38:00Z
pl_evening_focus,trk_her_hard_place,10,2025-07-18T20:39:00Z
pl_evening_focus,trk_her_best_part,11,2025-07-18T20:40:00Z
pl_evening_focus,trk_daniel_get_you,12,2025-07-18T20:41:00Z
pl_evening_focus,trk_daniel_blessed,13,2025-07-18T20:42:00Z
pl_evening_focus,trk_daniel_we_find_love,14,2025-07-18T20:43:00Z
pl_evening_focus,trk_lauryn_ex_factor,15,2025-07-18T20:44:00Z
pl_lagos_road_trip,trk_davido_jowo,1,2026-04-12T07:00:00Z
pl_lagos_road_trip,trk_davido_la_la,2,2026-04-12T07:01:00Z
pl_lagos_road_trip,trk_rema_calm_down,3,2026-04-12T07:02:00Z
pl_lagos_road_trip,trk_rema_woman,4,2026-04-12T07:03:00Z
pl_lagos_road_trip,trk_tems_burning,5,2026-04-12T07:04:00Z
pl_lagos_road_trip,trk_tems_wickedest,6,2026-04-12T07:05:00Z
pl_lagos_road_trip,trk_simi_duduke,7,2026-04-12T07:06:00Z
pl_lagos_road_trip,trk_simi_woman,8,2026-04-12T07:07:00Z
pl_lagos_road_trip,trk_adekunle_high,9,2026-04-12T07:08:00Z
pl_lagos_road_trip,trk_adekunle_party_no_stop,10,2026-04-12T07:09:00Z
pl_anniversary_dinner,trk_sade_by_your_side,1,2025-10-03T18:00:00Z
pl_anniversary_dinner,trk_sade_smooth_operator,2,2025-10-03T18:01:00Z
pl_anniversary_dinner,trk_corinne_like_star,3,2025-10-03T18:02:00Z
pl_anniversary_dinner,trk_corinne_put_records,4,2025-10-03T18:03:00Z
pl_anniversary_dinner,trk_daniel_get_you,5,2025-10-03T18:04:00Z
pl_anniversary_dinner,trk_daniel_blessed,6,2025-10-03T18:05:00Z
pl_anniversary_dinner,trk_jhene_above_clouds,7,2025-10-03T18:06:00Z
pl_anniversary_dinner,trk_brandy_long_distance,8,2025-10-03T18:07:00Z
pl_anniversary_dinner,trk_johnny_drille_papa,9,2025-10-03T18:08:00Z
pl_anniversary_dinner,trk_simi_no_longer,10,2025-10-03T18:09:00Z
pl_kids_safe,trk_burna_for_my_hand,1,2026-01-04T16:00:00Z
pl_kids_safe,trk_wizkid_blessed,2,2026-01-04T16:01:00Z
pl_kids_safe,trk_ckay_love_nwantiti,3,2026-01-04T16:02:00Z
pl_kids_safe,trk_rema_calm_down,4,2026-01-04T16:03:00Z
pl_kids_safe,trk_simi_duduke,5,2026-01-04T16:04:00Z
pl_kids_safe,trk_mercy_excess_love,6,2026-01-04T16:05:00Z
pl_kids_safe,trk_corinne_put_records,7,2026-01-04T16:06:00Z
pl_yoga_saturday,trk_johnny_drille_believe,1,2025-12-13T07:30:00Z
pl_yoga_saturday,trk_corinne_like_star,2,2025-12-13T07:31:00Z
pl_yoga_saturday,trk_sade_by_your_side,3,2025-12-13T07:32:00Z
pl_yoga_saturday,trk_brandy_right_here,4,2025-12-13T07:33:00Z
pl_yoga_saturday,trk_jhene_pretty_kitty,5,2025-12-13T07:34:00Z
pl_yoga_saturday,trk_daniel_we_find_love,6,2025-12-13T07:35:00Z
pl_gym_three_times,trk_burna_kilometre,1,2026-02-03T05:45:00Z
